JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460916.311443,7.570,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.613|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.333|KREFMAG=10.966|VMAGINS=-15.730|VMAG=7.570,0,1.100,Z,-14.613,-12.350,,SX PHE,AAVSO,STD,,,,
2460916.312037,7.532,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.611|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.331|KREFMAG=10.966|VMAGINS=-15.765|VMAG=7.532,0,1.101,Z,-14.611,-12.380,,SX PHE,AAVSO,STD,,,,
2460916.312597,7.504,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.593|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.313|KREFMAG=10.966|VMAGINS=-15.775|VMAG=7.504,0,1.103,Z,-14.593,-12.331,,SX PHE,AAVSO,STD,,,,
2460916.313187,7.561,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.600|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.320|KREFMAG=10.966|VMAGINS=-15.724|VMAG=7.561,0,1.104,Z,-14.600,-12.328,,SX PHE,AAVSO,STD,,,,
2460916.313758,7.546,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.596|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.316|KREFMAG=10.966|VMAGINS=-15.736|VMAG=7.546,0,1.105,Z,-14.596,-12.378,,SX PHE,AAVSO,STD,,,,
2460916.314364,7.554,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.569|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.289|KREFMAG=10.966|VMAGINS=-15.702|VMAG=7.554,0,1.107,Z,-14.569,-12.324,,SX PHE,AAVSO,STD,,,,
2460916.314956,7.588,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.587|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.308|KREFMAG=10.966|VMAGINS=-15.685|VMAG=7.588,0,1.108,Z,-14.587,-12.375,,SX PHE,AAVSO,STD,,,,
2460916.315516,7.627,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.631|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.351|KREFMAG=10.966|VMAGINS=-15.690|VMAG=7.627,0,1.110,Z,-14.631,-12.394,,SX PHE,AAVSO,STD,,,,
2460916.316129,7.592,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.585|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.305|KREFMAG=10.966|VMAGINS=-15.679|VMAG=7.592,0,1.111,Z,-14.585,-12.408,,SX PHE,AAVSO,STD,,,,
2460916.316693,7.622,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.596|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.316|KREFMAG=10.966|VMAGINS=-15.660|VMAG=7.622,0,1.113,Z,-14.596,-12.304,,SX PHE,AAVSO,STD,,,,
2460916.317298,7.639,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.590|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.310|KREFMAG=10.966|VMAGINS=-15.637|VMAG=7.639,0,1.114,Z,-14.590,-12.354,,SX PHE,AAVSO,STD,,,,
2460916.317901,7.638,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.600|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.320|KREFMAG=10.966|VMAGINS=-15.648|VMAG=7.638,0,1.116,Z,-14.600,-12.344,,SX PHE,AAVSO,STD,,,,
2460916.318592,7.629,0.001,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.588|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.308|KREFMAG=10.966|VMAGINS=-15.646|VMAG=7.629,0,1.117,Z,-14.588,-12.359,,SX PHE,AAVSO,STD,,,,
