JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457118.39949,10.281,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.55,Z,18.123,17.955,,YZ BOO,VVS,STD,,,,
2457118.39992,10.286,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.54,Z,18.122,17.935,,YZ BOO,VVS,STD,,,,
2457118.40035,10.304,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.54,Z,18.115,17.941,,YZ BOO,VVS,STD,,,,
2457118.40076,10.294,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.54,Z,18.120,17.946,,YZ BOO,VVS,STD,,,,
2457118.40119,10.278,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.54,Z,18.138,17.941,,YZ BOO,VVS,STD,,,,
2457118.40162,10.307,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.53,Z,18.112,17.957,,YZ BOO,VVS,STD,,,,
2457118.40236,10.276,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.53,Z,18.142,17.946,,YZ BOO,VVS,STD,,,,
2457118.40278,10.283,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.52,Z,18.141,17.967,,YZ BOO,VVS,STD,,,,
2457118.40321,10.301,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.52,Z,18.127,17.950,,YZ BOO,VVS,STD,,,,
2457118.40363,10.278,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.52,Z,18.140,17.942,,YZ BOO,VVS,STD,,,,
2457118.40449,10.297,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.51,Z,18.128,17.950,,YZ BOO,VVS,STD,,,,
2457118.40491,10.299,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.51,Z,18.136,17.946,,YZ BOO,VVS,STD,,,,
2457118.40534,10.330,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.51,Z,18.111,17.937,,YZ BOO,VVS,STD,,,,
2457118.40576,10.298,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.50,Z,18.132,17.953,,YZ BOO,VVS,STD,,,,
2457118.40619,10.292,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.50,Z,18.142,17.928,,YZ BOO,VVS,STD,,,,
2457118.40662,10.295,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.50,Z,18.142,17.943,,YZ BOO,VVS,STD,,,,
2457118.40705,10.325,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.50,Z,18.105,17.941,,YZ BOO,VVS,STD,,,,
2457118.40747,10.317,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.49,Z,18.125,17.939,,YZ BOO,VVS,STD,,,,
2457118.40789,10.318,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.49,Z,18.121,17.930,,YZ BOO,VVS,STD,,,,
2457118.40832,10.345,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.49,Z,18.101,17.930,,YZ BOO,VVS,STD,,,,
2457118.40875,10.351,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.48,Z,18.105,17.944,,YZ BOO,VVS,STD,,,,
2457118.40917,10.344,0.015,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.48,Z,18.104,17.954,,YZ BOO,VVS,STD,,,,
2457118.40959,10.326,0.016,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.48,Z,18.128,17.971,,YZ BOO,VVS,STD,,,,
2457118.41002,10.330,0.016,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.48,Z,18.131,17.919,,YZ BOO,VVS,STD,,,,
2457118.41045,10.332,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.47,Z,18.119,17.939,,YZ BOO,VVS,STD,,,,
2457118.41087,10.334,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.47,Z,18.130,17.938,,YZ BOO,VVS,STD,,,,
2457118.41130,10.341,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.47,Z,18.124,17.926,,YZ BOO,VVS,STD,,,,
2457118.41172,10.338,0.013,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.47,Z,18.126,17.938,,YZ BOO,VVS,STD,,,,
2457118.41215,10.336,0.016,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.46,Z,18.131,17.933,,YZ BOO,VVS,STD,,,,
2457118.41257,10.346,0.019,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.46,Z,18.124,17.937,,YZ BOO,VVS,STD,,,,
2457118.41301,10.360,0.023,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.46,Z,18.102,17.927,,YZ BOO,VVS,STD,,,,
